EventIndex,Planet1,Aspect,Planet2,Orb,Type
0,Sun,Square,Moon,4°38’,Applying
0,Sun,Sextile,Mars,2°03’,Separating
0,Moon,Trine,Saturn,7°11’,Applying
0,Moon,Trine,Neptune,6°35’,Separating
0,Mercury,Conjunction,Venus,2°14’,Applying
0,Mercury,Sextile,Pluto,3°04’,Applying
0,Venus,Opposition,Uranus,6°26’,Separating
0,Mars,Trine,Jupiter,5°42’,Separating
0,Mars,Square,Saturn,4°36’,Applying
0,Jupiter,Conjunction,Pluto,5°18’,Separating
0,Saturn,Opposition,Uranus,2°38’,Applying
1,Sun,Conjunction,Moon,3°56’,Separating
1,Sun,Trine,Jupiter,4°55’,Applying
1,Sun,Trine,Neptune,9°22’,Applying
1,Moon,Trine,Jupiter,0°58’,Applying
1,Moon,Trine,Neptune,5°25’,Applying
1,Mercury,Trine,Pluto,1°48’,Applying
1,Venus,Square,Pluto,6°14’,Separating
1,Mars,Opposition,Neptune,1°40’,Separating
1,Jupiter,Trine,Neptune,4°27’,Applying
1,Saturn,Square,Uranus,4°55’,Separating
2,Sun,Square,Mars,6°23’,Separating
2,Sun,Trine,Jupiter,8°43’,Separating
2,Sun,Trine,Neptune,5°12’,Applying
2,Moon,Opposition,Mercury,3°47’,Separating
2,Moon,Square,Mars,3°44’,Applying
2,Moon,Sextile,Jupiter,1°24’,Applying
2,Moon,Sextile,Saturn,1°12’,Separating
2,Moon,Square,Uranus,5°10’,Separating
2,Mercury,Trine,Jupiter,5°11’,Applying
2,Mercury,Trine,Saturn,2°35’,Applying
2,Mercury,Square,Uranus,1°22’,Separating
2,Venus,Trine,Mars,5°56’,Applying
2,Venus,Square,Jupiter,3°36’,Applying
2,Venus,Sextile,Uranus,2°57’,Separating
2,Jupiter,Trine,Saturn,2°36’,Separating
3,Sun,Square,Pluto,6°20’,Applying
3,Moon,Conjunction,Mercury,1°28’,Applying
3,Moon,Sextile,Mars,4°51’,Separating
3,Moon,Trine,Neptune,6°15’,Applying
3,Mercury,Trine,Neptune,4°46’,Applying
3,Venus,Conjunction,Mars,6°10’,Applying
3,Venus,Opposition,Jupiter,0°00’,Applying
3,Venus,Square,Saturn,1°35’,Separating
3,Mars,Opposition,Jupiter,6°10’,Separating
3,Jupiter,Square,Saturn,1°36’,Applying
3,Saturn,Trine,Pluto,6°22’,Applying
3,Uranus,Conjunction,Neptune,6°07’,Applying
3,Uranus,Sextile,Pluto,1°23’,Applying
4,Sun,Trine,Uranus,4°28’,Separating
4,Sun,Square,Neptune,2°28’,Applying
4,Moon,Square,Mars,1°40’,Applying
4,Moon,Trine,Saturn,5°01’,Applying
4,Moon,Square,Neptune,7°41’,Separating
